total_population,median_home_value,median_gross_rent,state,zip_code
17113,83900,14361,72,00601
37751,85300,16807,72,00602
47081,118400,16049,72,00603
6392,80800,12119,72,00606
26686,87600,19898,72,00610
59369,96700,18741,72,00612
10022,93100,17007,72,00616
23750,104500,16984,72,00617
6741,118800,14615,72,00622
41746,106600,17130,72,00623
21936,76500,16701,72,00624
31598,94400,17000,72,00627
1499,87500,10244,72,00631
22383,95800,17405,72,00637
16412,89600,16843,72,00638
26712,90200,15792,72,00641
37095,135100,30573,72,00646
5809,85900,14223,72,00647
14534,92400,19764,72,00650
3565,93400,21987,72,00652
10484,89800,12072,72,00653
18485,79800,17355,72,00656
39950,93000,17715,72,00659
15943,98700,19030,72,00660
39700,103800,16834,72,00662
14693,94100,14595,72,00664
23186,87200,14013,72,00667
24803,85800,16922,72,00669
8364,85000,14245,72,00670
38971,105000,18299,72,00674
36299,93800,14992,72,00676
14093,121700,19943,72,00677
25624,101400,17144,72,00678
45190,87400,14217,72,00680
31735,112600,14706,72,00682
29487,82300,16332,72,00683
37058,98000,15185,72,00685
30962,105700,20941,72,00687
12139,90900,17874,72,00688
5722,117400,18288,72,00690
35135,115700,20585,72,00692
53360,106200,19576,72,00693
64,-666666666,-666666666,72,00694
35317,91000,14794,72,00698
26097,114100,18846,72,00703
8108,77600,17275,72,00704
22662,112500,20214,72,00705
10721,87600,20760,72,00707
17739,89400,17615,72,00714
2818,82200,12188,72,00715
27513,112600,17969,72,00716
16086,102600,12121,72,00717
25430,92700,19372,72,00718
28556,88200,18922,72,00719
20758,85500,15295,72,00720
16984,90300,16063,72,00723
80537,121200,21350,72,00725
52743,137700,31688,72,00727
39083,98500,19340,72,00728
51015,108100,21469,72,00729
30175,92400,15723,72,00730
12657,77300,15473,72,00731
12159,91600,18395,72,00735
46085,116700,21894,72,00736
29196,103500,19859,72,00738
36734,117200,20065,72,00739
1915,67600,12944,72,00740
4074,85800,22121,72,00741
50435,114600,22960,72,00745
20677,84400,18087,72,00751
36893,109800,19403,72,00754
21757,93500,19827,72,00757
8523,103800,14880,72,00765
22687,92100,19682,72,00766
33499,87200,16295,72,00767
38812,90900,19700,72,00769
36906,114000,21175,72,00771
19529,91100,16107,72,00772
18224,111200,21850,72,00773
1299,148800,22667,72,00775
39609,104300,19830,72,00777
