parent_metro_region,state_code,region_type,region,median_sale_price,median_ppsf,median_sale_price_cagr,median_ppsf_cagr
"Washington, DC",VA,place,"Front Royal, VA",291000.0,176.4048537091734,0.04493474885076587,0.04515090712047498
"Peoria, IL",IL,place,"Avon, IL",145000.0,66.27056672760511,0.10381787901413753,0.08121058129977121
"Warren, MI",MI,place,"Marysville, MI",208000.0,180.55555555555557,0.03673923193884332,0.06834795722739773
"New Orleans, LA",LA,place,"Gramercy, LA",169000.0,134.76874003189792,0.03847101881674164,0.05646620531763702
"Detroit, MI",MI,place,"Northville, MI",515000.0,249.51076320939336,0.04842407450054531,0.05137178412557253
"Portland, OR",OR,place,"Tualatin, OR",650900.0,277.31481481481484,0.07031890297731302,0.060890789275862334
"New Brunswick, NJ",NJ,place,"Clearbrook, NJ",329950.0,238.0952380952381,0.10192950546568413,
"Dayton, OH",OH,place,"Troy, OH",267000.0,146.3963963963964,0.0754547822824958,0.06107390080687236
"Grand Rapids, MI",MI,place,"Lake Odessa, MI",119250.0,126.94034861923282,0.04676970152168658,0.09275296319322801
"Arkadelphia, AR",AR,place,"Arkadelphia, AR",184750.0,115.87478429488893,0.09146389027316593,0.06607283203695946
"Houston, TX",TX,place,"Atascocita, TX",324500.0,144.6956843504598,0.06709847649386136,0.07426821864988997
"Providence, RI",MA,place,"Mansfield Center, MA",358000.0,263.1578947368421,0.030537299306224286,0.0723044388217553
"Montgomery County, PA",PA,place,"Hatboro, PA",405000.0,222.85291214215204,0.06166648851227796,0.04949755845914816
"Cleveland, OH",OH,place,"Westlake, OH",428500.0,184.98225170978293,0.0390986904236057,0.053012932570343674
"Torrington, CT",CT,place,"Canaan, CT",232500.0,105.01355013550136,0.07363503459820198,0.02216537842938915
"Shelbyville, TN",TN,place,"Bell Buckle, TN",332500.0,236.30890804597703,0.09657817233715105,0.11190176307783894
"Watertown, SD",SD,place,"Watertown, SD",251500.0,119.47262870437744,0.07198677208206816,0.05018850168186817
"Wilmington, DE",DE,place,"New Castle, DE",328950.0,182.9248686180528,0.0670515509972256,0.04974789908914046
"Pittsburgh, PA",PA,place,"South Uniontown, PA",80000.0,111.11111111111111,-0.025895241745145126,0.008235038079014378
"Chicago, IL",IL,place,"Flossmoor, IL",350000.0,138.10537519957424,0.05178538707757063,0.04797876233158149
"Phoenix, AZ",AZ,place,"Sun Lakes, AZ",467250.0,247.406069268538,0.07046338395189156,0.07158346887836475
"Charleston, SC",SC,place,"St. George, SC",278750.0,172.19684253282503,0.08350391854218109,0.10666077439438015
"Burlington, NC",NC,place,"Graham, NC",349000.0,169.17293233082708,0.10379445358607309,0.09207415943563135
"Reading, PA",PA,place,"Bernville, PA",324000.0,199.0140533299101,0.021272341297269515,0.07733208019586635
"Orlando, FL",FL,place,"Horizon West, FL",678917.5,251.86782620679892,0.08189684020270538,0.07636448176262878
"Fernley, NV",NV,place,"Fernley, NV",399000.0,230.67945205479447,0.11049221450001867,0.10343483422193711
"Bartlesville, OK",OK,place,"Bartlesville, OK",182500.0,103.37143806891848,0.04195208932817329,0.05285388362111454
"Champaign, IL",IL,place,"Champaign, IL",205000.0,134.9496797804209,0.051557965737816236,0.04799709197724922
"Marietta, OH",OH,place,"Vincent, OH",108000.0,94.4055944055944,-0.048469880678735366,-0.006583877246436498
"Detroit, MI",MI,place,"Allen Park, MI",190000.0,172.73892633606164,0.08667220768086992,0.08553297184685626
"Redding, CA",CA,place,"Jones Valley, CA",420000.0,190.38984587488667,0.08752003386652585,0.0765872463310524
"Gainesville, GA",GA,place,"Gainesville, GA",438164.0,172.01033333333334,0.10341843206424728,0.06615329783660528
"Fort Worth, TX",TX,place,"Hudson Oaks, TX",364000.0,206.23229461756372,0.02772718106882377,0.06782429837231407
"Tahlequah, OK",OK,place,"Tahlequah, OK",149000.0,132.21153846153845,0.04882843615940069,0.06793824431230244
"Warren, MI",MI,place,"Eastpointe, MI",135450.0,126.04305095714832,0.14328647442848808,0.16028565499567393
"Los Angeles, CA",CA,place,"Pico Rivera, CA",665000.0,569.0179918121094,0.07758393748847325,0.07377293820466613
"Kankakee, IL",IL,place,"Essex, IL",30000.0,,-0.15800280572497483,
"Pittsburgh, PA",PA,place,"Arnold, PA",129950.0,,0.14865416664254982,
"Chicago, IL",IL,place,"La Grange, IL",806250.0,309.4113244778805,0.046607013414986076,0.03675918651524057
"Lake County, IL",IL,place,"Fox Lake Hills, IL",335000.0,195.2214452214452,0.16619515033820842,0.11046671020488152
"Gary, IN",IN,place,"Cedar Lake, IN",340000.0,187.9699248120301,0.0908917223313559,0.09356738452297386
"Hartford, CT",CT,place,"Somers, CT",450000.0,204.00616602102977,0.07418475200247698,0.029624292679398145
"Chicago, IL",IL,place,"Evergreen Park, IL",257500.0,188.10630264304388,0.09622459137741801,0.08158126921073894
"Chicago, IL",IL,place,"Clarendon Hills, IL",932500.0,310.2283749857355,0.024085342296018997,0.016645619733105965
"Savannah, GA",GA,place,"Richmond Hill, GA",400545.0,180.0721712759044,0.0891625326925709,0.05731852244233204
"Grand Rapids, MI",MI,place,"Belding, MI",200000.0,164.41821247892074,0.11132753692303377,0.0823274946056558
"Barnstable Town, MA",MA,place,"Seabrook, MA",250000.0,192.90123456790124,-0.015577766499767498,0.023858611422971965
"Cleveland, OH",OH,place,"Madison, OH",170000.0,140.84757834757835,0.041686528640957565,0.06497515899264061
"Boston, MA",MA,place,"Beverly, MA",762500.0,436.99975902370176,0.07975110855409429,0.07189240148821963
"Hilton Head Island, SC",SC,place,"Daufuskie Island, SC",829900.0,313.1698113207547,0.10637379860579643,0.12953334111270354
"Dallas, TX",TX,place,"Copper Canyon, TX",1580000.0,276.3203917453655,0.11907245291688118,0.05000058247442851
"Scranton, PA",PA,place,"Dunmore, PA",130000.0,103.33080999242998,-0.007383404965592311,0.027666453777366762
